S/N,AMOUNT,ITEM,??,UNIX TIMESTAMP,STATUS,PAYMENT REF,SESSION,,PRINT STATUS,LEVEL,??
135,25000,CERT,1,1613472178,successful,TQV9S0UHW,2020/2021,nil,PRINTED,ND,NIL
136,25000,CERT,1,1613471182,failed,9B5DKGJ1Q,2020/2021,nil,UNPRINTED,HND,NIL
137,25000,CERT,1,1631533200,failed,KBPHF0N0R,2020/2021,nil,UNPRINTED,ND,NIL
138,10000,TRANS,1,1613472340,failed,NK26DPTGU,2020/2021,nil,UNPRINTED,HND,NIL
139,25000,CERT,1,1613476428,successful,4FTRUNB2M,2020/2021,nil,PRINTED,ND,NIL
140,25000,CERT,1,1613484704,successful,9TD4PQCF7,2020/2021,nil,PRINTED,ND,YES
141,10000,TRANS,1,1613487854,failed,F40QMPWV7,2020/2021,nil,UNPRINTED,HND,NIL
142,25000,CERT,1,1613491998,failed,P7N5QV0WU,2020/2021,nil,UNPRINTED,ND,NIL
143,25000,CERT,1,1613525808,successful,TVKPGDC8E,2020/2021,nil,PRINTED,ND,YES
144,25000,CERT,1,1613548859,successful,HQCMWDBPU,2020/2021,nil,PRINTED,ND,YES
145,25000,CERT,1,1613550567,failed,TGMP6V47J,2020/2021,nil,UNPRINTED,HND,NIL
146,10000,TRANS,1,1613550608,failed,TGMP6V47J,2020/2021,nil,UNPRINTED,ND,NIL
147,10000,TRANS,1,1613550668,failed,TGMP6V47J,2020/2021,nil,UNPRINTED,ND,NIL
148,10000,TRANS,1,1613550733,failed,PMRBVT08N,2020/2021,nil,UNPRINTED,ND,NIL
149,25000,CERT,1,1613550864,successful,FEPWR0D45,2020/2021,nil,PRINTED,ND,NIL
150,25000,CERT,1,1613550945,successful,58V2JWCEP,2020/2021,nil,PRINTED,ND,YES
151,25000,CERT,1,1613555985,successful,4FM5TUDC0,2020/2021,nil,PRINTED,ND,NIL
152,25000,CERT,1,1613555641,failed,6ENWTSAG5,2020/2021,nil,UNPRINTED,ND,NIL
153,25000,CERT,1,1613630649,failed,7HGWQ0E9F,2020/2021,nil,UNPRINTED,ND,NIL
154,25000,CERT,1,1613556840,failed,SN5FGTRJH,2020/2021,nil,UNPRINTED,HND,NIL
155,25000,CERT,1,1613557750,successful,4SC8ABE0N,2020/2021,nil,PRINTED,ND,NIL
156,25000,CERT,1,1613563898,successful,M40VEBQ0A,2020/2021,nil,PRINTED,ND,YES
157,25000,CERT,1,1613566202,successful,BHTK70G21,2020/2021,nil,PRINTED,ND,NIL
158,25000,CERT,1,1613568528,successful,EU4BJK7QP,2020/2021,nil,PRINTED,ND,NIL
159,25000,CERT,1,1617628600,successful,QS9E06MAP,2020/2021,nil,PRINTED,ND,NIL
160,25000,CERT,1,1613573738,failed,5SNQED4PJ,2020/2021,nil,UNPRINTED,HND,NIL
161,25000,CERT,1,1613599279,successful,W8KPBHURV,2020/2021,nil,PRINTED,HND,NIL
162,25000,CERT,1,1613601802,successful,F5DN49Q8V,2020/2021,nil,PRINTED,HND,NIL
163,10000,TRANS,1,1613635454,failed,4V2S67U5P,2020/2021,nil,UNPRINTED,HND,NIL
164,10000,TRANS,1,1613635499,failed,4V2S67U5P,2020/2021,nil,UNPRINTED,ND,NIL
166,25000,CERT,1,1613642467,failed,GNJHWP096,2020/2021,nil,UNPRINTED,ND,NIL
167,25000,CERT,1,1613649437,successful,04HETKFS6,2020/2021,nil,PRINTED,ND,NIL
168,25000,CERT,1,1613655719,successful,9W1AHK2RC,2020/2021,nil,PRINTED,ND,YES
170,10000,TRANS,1,1613658791,successful,NVQACH2FD,2020/2021,nil,PRINTED,HND,NIL
169,25000,CERT,1,1613658660,successful,904EHRN0K,2020/2021,nil,PRINTED,ND,NIL
171,10000,TRANS,1,1613659806,successful,5W8A0G6EJ,2020/2021,nil,PRINTED,HND,NIL
172,25000,CERT,1,1625893236,successful,0GR51BUN9,2020/2021,nil,PRINTED,HND,NIL
173,25000,CERT,1,1613678207,successful,U5MR2S0TD,2020/2021,nil,PRINTED,ND,NIL
174,25000,CERT,1,1613690356,successful,MUP6D94TS,2020/2021,nil,UNPRINTED,ND,YES
175,25000,CERT,1,1613726426,successful,J59BTN60F,2020/2021,nil,PRINTED,ND,NIL
176,25000,CERT,1,1613728759,successful,0CK6T5AQM,2020/2021,nil,PRINTED,ND,YES
177,25000,CERT,1,1613728922,successful,0S2PEA7WT,2020/2021,nil,PRINTED,ND,YES
179,25000,CERT,1,1613730054,successful,TNJRMVGD5,2020/2021,nil,PRINTED,HND,NIL
178,25000,CERT,1,1613729354,successful,GUA5C2B9V,2020/2021,nil,PRINTED,ND,NIL
181,25000,CERT,1,1613732182,failed,JVC6M4QAP,2020/2021,nil,UNPRINTED,HND,NIL
180,25000,CERT,1,1613730332,successful,82T4ME6JD,2020/2021,nil,PRINTED,ND,NIL
182,25000,CERT,1,1613732395,successful,R48BS5F0W,2020/2021,nil,PRINTED,ND,NIL
183,25000,CERT,1,1613736577,failed,Q0D964K0N,2020/2021,nil,UNPRINTED,ND,NIL
184,25000,CERT,1,1613745827,failed,SBGM5QTHE,2020/2021,nil,UNPRINTED,ND,NIL
185,25000,CERT,1,1613749526,successful,SW95HUF0R,2020/2021,nil,PRINTED,ND,YES
186,25000,CERT,1,1613755370,successful,42BEHS1VA,2020/2021,nil,PRINTED,ND,NIL
187,10000,TRANS,1,1625517079,failed,NTH9S05EK,2020/2021,nil,UNPRINTED,HND,NIL
188,25000,CERT,1,1613834752,successful,TF2WH6S4P,2020/2021,nil,PRINTED,ND,NIL
189,10000,TRANS,1,1613941374,failed,VWUTBR28G,2020/2021,nil,UNPRINTED,ND,NIL
190,25000,CERT,1,1613983776,successful,AQC0M1VR0,2020/2021,nil,PRINTED,ND,YES
191,25000,CERT,1,1613984902,successful,6C5F4EB7V,2020/2021,nil,PRINTED,ND,YES
192,25000,CERT,1,1613984376,successful,TD0590C8P,2020/2021,nil,PRINTED,HND,NIL
193,25000,CERT,1,1613984932,successful,25K9004PU,2020/2021,nil,PRINTED,ND,NIL
194,10000,TRANS,1,1613988154,successful,NJ1FQRCKD,2020/2021,nil,PRINTED,ND,YES
195,25000,CERT,1,1613988671,successful,DAS02KWCU,2020/2021,nil,PRINTED,ND,YES
196,25000,CERT,1,1613989674,successful,SE659PB2M,2020/2021,nil,PRINTED,ND,YES
197,10000,TRANS,1,1613989675,successful,EDMNH7TFB,2020/2021,nil,PRINTED,HND,YES
198,25000,CERT,1,1613992347,successful,SPK80WU0F,2020/2021,nil,PRINTED,ND,YES
199,25000,CERT,1,1613993365,failed,AW89M6BKU,2020/2021,nil,UNPRINTED,ND,NIL
200,25000,CERT,1,1613997808,failed,K70GPR2HF,2020/2021,nil,UNPRINTED,ND,NIL
201,25000,CERT,1,1613998432,successful,WNV1CT09U,2020/2021,nil,PRINTED,ND,NIL
202,25000,CERT,1,1614009276,successful,9M25PSDVJ,2020/2021,nil,PRINTED,ND,YES
203,10000,TRANS,1,1614004609,successful,T7UPA26DW,2020/2021,nil,PRINTED,ND,YES
204,25000,CERT,1,1614012541,successful,B5HQRGU9M,2020/2021,nil,PRINTED,ND,YES
205,25000,CERT,1,1614593200,successful,A0UVQKGW8,2020/2021,nil,PRINTED,ND,YES
211,25000,CERT,1,1614075664,successful,UKPH0RBVW,2020/2021,nil,PRINTED,ND,NIL
206,25000,CERT,1,1614068713,successful,BQAM1JC79,2020/2021,nil,PRINTED,HND,YES
207,25000,CERT,1,1614073709,successful,B051Q96FJ,2020/2021,nil,PRINTED,ND,YES
